!
!This table was created from the IDV's bfpplus-nfp-colors-0-to-1 color table
!                       red    green  blue 
!
                       239    163     39 
                       239    163     39 
                       239    162     39 
                       239    162     38 
                       239    162     38 
                       239    162     38 
                       239    162     38 
                       240    162     37 
                       240    161     37 
                       240    161     37 
                       240    161     36 
                       240    161     36 
                       240    161     36 
                       240    160     35 
                       240    160     35 
                       240    160     35 
                       241    160     35 
                       241    160     34 
                       241    159     34 
                       241    159     34 
                       241    159     33 
                       241    159     33 
                       241    159     33 
                       241    158     32 
                       242    158     32 
                       242    158     32 
                       242    158     32 
                       242    158     31 
                       242    157     31 
                       242    157     31 
                       242    157     30 
                       242    157     30 
                       243    157     30 
                       243    156     29 
                       243    156     29 
                       243    156     29 
                       243    156     29 
                       243    156     28 
                       243    155     28 
                       243    155     28 
                       244    155     27 
                       244    155     27 
                       244    155     27 
                       244    154     26 
                       244    154     26 
                       244    154     26 
                       244    154     26 
                       244    154     25 
                       245    154     25 
                       245    153     25 
                       245    153     24 
                       245    153     24 
                       245    153     24 
                       245    153     24 
                       245    152     23 
                       245    152     23 
                       245    152     23 
                       246    152     22 
                       246    152     22 
                       246    151     22 
                       246    151     21 
                       246    151     21 
                       246    151     21 
                       246    151     21 
                       246    150     20 
                       247    150     20 
                       247    150     20 
                       247    150     19 
                       247    150     19 
                       247    149     19 
                       247    149     18 
                       247    149     18 
                       247    149     18 
                       248    149     18 
                       248    148     17 
                       248    148     17 
                       248    148     17 
                       248    148     16 
                       248    148     16 
                       248    147     16 
                       248    147     15 
                       249    147     15 
                       249    147     15 
                       249    147     15 
                       249    146     14 
                       249    146     14 
                       249    146     14 
                       249    146     13 
                       249    146     13 
                       250    146     13 
                       250    145     12 
                       250    145     12 
                       250    145     12 
                       250    145     12 
                       250    145     11 
                       250    144     11 
                       250    144     11 
                       250    144     10 
                       251    144     10 
                       251    144     10 
                       251    143      9 
                       251    143      9 
                       251    143      9 
                       251    143      9 
                       251    143      8 
                       251    142      8 
                       252    142      8 
                       252    142      7 
                       252    142      7 
                       252    142      7 
                       252    141      6 
                       252    141      6 
                       252    141      6 
                       252    141      6 
                       253    141      5 
                       253    140      5 
                       253    140      5 
                       253    140      4 
                       253    140      4 
                       253    140      4 
                       253    139      3 
                       253    139      3 
                       254    139      3 
                       254    139      3 
                       254    139      2 
                       254    138      2 
                       254    138      2 
                       254    138      1 
                       254    138      1 
                       254    138      1 
