!
!This table was created from the IDV's afp-new2023 color table
!                       red    green  blue 
!
                        36    200      3 
                        36    200      3 
                        36    199      3 
                        36    199      3 
                        36    199      3 
                        36    198      3 
                        36    198      3 
                        36    198      3 
                        36    197      3 
                        36    197      3 
                        36    197      3 
                        35    196      2 
                        35    196      2 
                        35    195      2 
                        35    195      2 
                        35    195      2 
                        35    194      2 
                        35    194      2 
                        35    194      2 
                        35    193      2 
                        35    193      2 
                        35    193      2 
                        35    192      2 
                        35    192      2 
                        35    192      2 
                        34    191      2 
                        34    191      2 
                        34    191      2 
                        34    190      2 
                        34    190      2 
                        34    190      2 
                        34    189      2 
                        34    189      2 
                        34    189      2 
                        34    188      2 
                        34    188      2 
                        34    188      2 
                        34    187      2 
                        34    187      2 
                        33    187      2 
                        33    186      2 
                        33    186      2 
                        33    186      2 
                        33    185      2 
                        33    185      2 
                        33    185      2 
                        33    184      2 
                        33    184      2 
                        33    184      2 
                        33    183      2 
                        33    183      2 
                        33    183      2 
                        33    182      2 
                        32    182      2 
                        32    182      2 
                        32    181      2 
                        32    181      2 
                        32    181      2 
                        32    180      2 
                        32    180      2 
                        32    180      2 
                        32    179      2 
                        32    179      2 
                        32    179      2 
                        32    178      2 
                        32    178      2 
                        32    178      2 
                        31    177      1 
                        31    177      1 
                        31    177      1 
                        31    176      1 
                        31    176      1 
                        31    176      1 
                        31    175      1 
                        31    175      1 
                        31    175      1 
                        31    174      1 
                        31    174      1 
                        31    174      1 
                        31    173      1 
                        31    173      1 
                        30    173      1 
                        30    172      1 
                        30    172      1 
                        30    172      1 
                        30    171      1 
                        30    171      1 
                        30    171      1 
                        30    170      1 
                        30    170      1 
                        30    170      1 
                        30    169      1 
                        30    169      1 
                        30    169      1 
                        30    168      1 
                        29    168      1 
                        29    168      1 
                        29    167      1 
                        29    167      1 
                        29    167      1 
                        29    166      1 
                        29    166      1 
                        29    166      1 
                        29    165      1 
                        29    165      1 
                        29    165      1 
                        29    164      1 
                        29    164      1 
                        29    164      1 
                        28    163      1 
                        28    163      1 
                        28    163      1 
                        28    162      1 
                        28    162      1 
                        28    162      1 
                        28    161      1 
                        28    161      1 
                        28    161      1 
                        28    160      1 
                        28    160      1 
                        28    160      1 
                        28    159      1 
                        28    159      1 
                        27    158      0 
                        27    158      0 
                        27    158      0 
                        27    158      0 
                        27    158      0 
                        27    158      0 
